Icmeler Beach,2018-01-04 08:54:01.103,"Предимството на плажа е, че покрай бреговете му почти няма вълни. Дори при силен вятър по-крайбрежието рядко има вълни с височина по-голяма от 20-30 сантиметра. Прекрасно е за плуване в такива тихи води.",4.8,4,7,6,2,10,4,6,5,2,0,1,5,10,0,10
Side East Beach,2018-01-04 10:25:25.300,"Хубав плаж. Дълъг е около 10 км.  Идеален е за разходки по и около него. ",4.9,7,7,4,6,8,5,7,10,1,0,0,0,9,0,10
Side West Beach,2018-01-04 10:51:14.183,Многолюден плаж. Приятна за разходки променада.,4.3,6,7,4,0,9,3,6,10,0,0,0,0,10,0,10
Marmaris Beach,2018-01-04 11:06:37.407,"The beaches in Marmaris Downtown are not the greatest in the world but are more than adequate for children and adults alike. The sand is mostly black sand and a bit gritty. The beaches are not very wide and the top half is covered in sunbeds and umbrellas which you can rent for a nominal fee if the hotel/restaurant does not provide them. ",4.1,2,5,5,1,10,3,5,5,2,0,1,5,8,0,10
South Beach,2018-01-04 12:21:32.183,"Плажа е защитен от морските течения с брегоукрепителни съоръжения, които го правят тих и спокоен през целия летен сезон. Пясъчната ивица е сравнително тясна и още в ранните часове на деня се препълва от летовници. Полегатото му дъно го прави безопасен за игра на деца в морето.",4,7.5,6,4,1,8,3,8,7,1,0,0,1,4,0,9
South Beach,2018-01-14 17:09:50.413,"Very nice beach, sheltered by sea waves. Suitable for swimming, running and walking along the coast. Excellent location.",4,7.5,6.6,2,1,8.1,3,2.1,8.1,1.5,0,0,1.6,9.1,0,10
South Beach,2018-01-19 10:00:09.640,"Not the most spectacular beach I've been to. If you want to avoid the crowds, be sure to be there early in the morning.",2.5,4.2,3.9,1.5,0.7,4.5,4.2,4.7,4.2,0.7,0,0,0,2.4,0,6.6
Ao Nang Beach,2018-01-04 13:06:56.070,The beach does not shine with any special qualities. My ratings describe it well,4,6,4,2.5,1,8,3,6,9,1,0,0,3,7,0,9.5
Pai Plong Beach,2018-01-04 13:20:16.717,Surprising nature. Beautiful rocks. Wonderful bay.,5.1,7.5,8,8.5,7.5,4,4,7,9,1,0,0,7,8,0,5
Railay Beach West,2018-01-04 13:35:43.803,Surprising nature. Beautiful rocks. Wonderful bay. Relatively crowded. Not very clean.,5.5,9,6,8,7,7,5,9,9,1,0,0,7.5,9,0,5
Ton Sai Beach,2018-01-04 13:52:39.063,NULL,4.4,9,5,8.5,6,4,5,4,4,1,0,0,7,9,0,3
Phra Nang Beach,2018-01-04 14:11:15.470,Surprising nature. Beautiful rocks. Wonderful bay. Relatively crowded. Definitely this is the finest beach on the Rilai Peninsula,5.1,9,8,10,3,3.5,5,9,9,2,0,1,8,9,0,0
Klong Dao Beach North,2018-01-04 14:23:30.783,Wonderful sand for walking and running. Good swimming area parallel to the shore. Great tides that you have to keep in mind!,4.9,8,6,4,5,8,3,7,10,2,0,0,2,9,0,9
Klong Dao Beach South,2018-01-04 14:38:39.210,NULL,3.8,7,3,3,6,8,3,3,6,2,0,0,1,6,0,9
Long Beach,2018-01-04 14:46:25.227,NULL,4.6,8,5,2.5,6,8,3,7,8,2,0,1,1,8,0,9
Relax Bay Beach,2018-01-04 15:00:57.393,Three small rivers flow into the bay! One of which is pretty dirty. The beach is not well maintained. The pictures look a lot better than it really is.,4.4,8,4,4,6,7.5,3,7,8,2.5,0,1,1,5,0,9
Klong Khong Beach,2018-01-04 15:10:53.427,"The seabed is very rocky. The beach is not well maintained. ",3.8,8,4,2.5,7,8,3,3,1,3,0,1,1,6,0,9
Klong Nin Beach,2018-01-04 15:27:20.260,The beach and its surroundings are not well maintained.,4.4,8,4,2,6,7.5,3,7,9,2.5,0,1,1,6.5,0,9
Kantiang Bay Beach,2018-01-04 15:36:47.860,One of the finest beaches of Ko Lanta.,5.2,8,6,8,5,8,3.5,7,8,3,0,1.5,4,7,0,9
